feature,mismatch_rate
longitude,0.0
profileSessionAction5CountZScore,0.0
profileSessionAction3CountZScore,0.0
profileSessionAction2CountZScore,0.0
profileSessionAction1CountZScore,0.0
profileSessionAction0CountZScore,0.0
profileSessionActionCountZScore,0.0
profileRawStdSessionAction9Count,0.0
profileRawStdSessionAction8Count,0.0
profileRawStdSessionAction7Count,0.0
profileRawStdSessionAction6Count,0.0
profileRawStdSessionAction5Count,0.0
profileRawStdSessionAction4Count,0.0
profileRawStdSessionAction3Count,0.0
profileRawStdSessionAction2Count,0.0
profileRawStdSessionAction1Count,0.0
profileRawStdSessionAction0Count,0.0
profileRawStdSessionActionCount,0.0
profileRawMeanSessionAction9Count,0.0
profileRawMeanSessionAction8Count,0.0
profileRawMeanSessionAction7Count,0.0
profileRawMeanSessionAction6Count,0.0
profileRawMeanSessionAction5Count,0.0
profileRawMeanSessionAction4Count,0.0
profileRawMeanSessionAction3Count,0.0
profileSessionAction4CountZScore,0.0
profileSessionAction6CountZScore,0.0
latitude,0.0
profileSessionAction7CountZScore,0.0
homeLatitude,0.0
homeLongitude,0.0
maritalStatusDivorced,0.0
maritalStatusMarried,0.0
maritalStatusSingle,0.0
genderMale,0.0
age,0.0
profileDistinctRecipientCount,0.0
profileRecipientTxnCount,0.0
profileSessionTransactionFromCreditCardCountZScore,0.0
profileSessionTransactionFromSavingsCountZScore,0.0
profileSessionTransactionFromCheckingCountZScore,0.0
profileSessionTransactionCountZScore,0.0
profileRawStdSessionTransactionFromCreditCardCount,0.0
profileRawStdSessionTransactionFromSavingsCount,0.0
profileRawStdSessionTransactionFromCheckingCount,0.0
profileRawStdSessionTransactionCount,0.0
profileRawMeanSessionTransactionFromCreditCardCount,0.0
profileRawMeanSessionTransactionFromSavingsCount,0.0
profileRawMeanSessionTransactionFromCheckingCount,0.0
profileRawMeanSessionTransactionCount,0.0
profileSessionAction9CountZScore,0.0
profileSessionAction8CountZScore,0.0
profileRawMeanSessionAction2Count,0.0
profileRawMeanSessionAction1Count,0.0
profileRawMeanSessionAction0Count,0.0
profileRawMeanSessionActionCount,0.0
action9Count,0.0
action8Count,0.0
action7Count,0.0
action6Count,0.0
action5Count,0.0
action4Count,0.0
action3Count,0.0
action2Count,0.0
action1Count,0.0
action0Count,0.0
transactionCount,0.0
accountTypeCreditCard,0.0
accountTypeSavings,0.0
accountTypeChecking,0.0
dayOfMonth,0.0
dayOfWeek,0.0
hour,0.0
amountMod1000,0.0
amountMod500,0.0
amountMod250,0.0
amountMod100,0.0
amountMod1,0.0
amount,0.0
actionCount,0.0
secondsToTransaction,0.0
avgActionDuration,0.0
profileRawAmountPercentile10,0.0
profileRawTransactionCount,0.0
profileRawSessionCount,0.0
profileSecondsToTransactionZScore,0.0
profileRawStdSecondsToTransaction,0.0
profileRawMeanSecondsToTransaction,0.0
profileAmountZScore,0.0
profileRawAmountPercentile90,0.0
profileRawAmountPercentile75,0.0
profileRawAmountPercentile50,0.0
profileRawAmountPercentile25,0.0
profileRawAmountStd,0.0
amountSum,0.0
profileRawAmountAvg,0.0
profileRawAmountMax,0.0
profileRawAmountMin,0.0
profileRawInd,0.0
repeatedRecipientCount,0.0
distinctRecipientCount,0.0
recipientTransactionCount,0.0
amountMax,0.0
amountMin,0.0
amountAvg,0.0
distanceFromHome,0.0
